,Genus,Number of CAZymes
0,Fusarium,595
1,Fusarium,503
2,Fusarium,694
3,Fusarium,505
4,Fusarium,661
5,Fusarium,668
6,Fusarium,596
7,Fusarium,526
8,Fusarium,655
9,Fusarium,664
10,Fusarium,608
11,Aspergillus,459
12,Aspergillus,432
13,Aspergillus,424
14,Aspergillus,426
15,Aspergillus,434
16,Aspergillus,425
17,Aspergillus,427
18,Aspergillus,450
19,Aspergillus,458
20,Aspergillus,430
21,Aspergillus,429
22,Trichoderma,421
23,Trichoderma,335
24,Trichoderma,381
25,Trichoderma,407
26,Magnaporthe,506
27,Magnaporthe,550
28,Rhynchosporium,409
29,Rhynchosporium,428
30,Rhynchosporium,428
31,Ustilago,198
32,Fungi,595
33,Fungi,503
34,Fungi,694
35,Fungi,505
36,Fungi,661
37,Fungi,668
38,Fungi,596
39,Fungi,526
40,Fungi,655
41,Fungi,664
42,Fungi,608
43,Fungi,459
44,Fungi,432
45,Fungi,424
46,Fungi,426
47,Fungi,434
48,Fungi,425
49,Fungi,427
50,Fungi,450
51,Fungi,458
52,Fungi,430
53,Fungi,429
54,Fungi,421
55,Fungi,335
56,Fungi,381
57,Fungi,407
58,Fungi,506
59,Fungi,550
60,Fungi,409
61,Fungi,428
62,Fungi,428
63,Fungi,198
64,Oomycete,414
65,Oomycete,360
66,Oomycete,419
67,Oomycete,444
68,Oomycete,417
69,Oomycete,423
70,Oomycete,323
71,Oomycete,174
72,Oomycete,169
73,Phytophthora,414
74,Phytophthora,360
75,Phytophthora,419
76,Phytophthora,444
77,Phytophthora,417
78,Phytophthora,423
79,Phytophthora,323
80,Albugo,174
81,Plasmopara,169
