,Genus,Number of Proteins
0,Aspergillus,9285
1,Aspergillus,10609
2,Aspergillus,8837
3,Aspergillus,8891
4,Aspergillus,11217
5,Aspergillus,8885
6,Aspergillus,10373
7,Aspergillus,11236
8,Aspergillus,8910
9,Aspergillus,9550
10,Aspergillus,8938
11,Fusarium,14144
12,Fusarium,15449
13,Fusarium,14379
14,Fusarium,15254
15,Fusarium,16976
16,Fusarium,18069
17,Fusarium,18150
18,Fusarium,18906
19,Fusarium,18818
20,Fusarium,13355
21,Fusarium,11827
22,Ustilago,7227
23,Rhynchosporium,13673
24,Rhynchosporium,13145
25,Rhynchosporium,12211
26,Trichoderma,11498
27,Trichoderma,9735
28,Trichoderma,13925
29,Trichoderma,11264
30,Magnaporthe,12452
31,Magnaporthe,13521
32,Fungi,9285
33,Fungi,10609
34,Fungi,8837
35,Fungi,8891
36,Fungi,11217
37,Fungi,8885
38,Fungi,10373
39,Fungi,11236
40,Fungi,8910
41,Fungi,9550
42,Fungi,8938
43,Fungi,14144
44,Fungi,15449
45,Fungi,14379
46,Fungi,15254
47,Fungi,16976
48,Fungi,18069
49,Fungi,18150
50,Fungi,18906
51,Fungi,18818
52,Fungi,13355
53,Fungi,11827
54,Fungi,7227
55,Fungi,13673
56,Fungi,13145
57,Fungi,12211
58,Fungi,11498
59,Fungi,9735
60,Fungi,13925
61,Fungi,11264
62,Fungi,12452
63,Fungi,13521
64,Oomycete,26490
65,Oomycete,20172
66,Oomycete,23771
67,Oomycete,26676
68,Oomycete,26824
69,Oomycete,26512
70,Oomycete,26648
71,Oomycete,13311
72,Oomycete,15469
73,Phytophthora,26490
74,Phytophthora,20172
75,Phytophthora,23771
76,Phytophthora,26676
77,Phytophthora,26824
78,Phytophthora,26512
79,Phytophthora,26648
80,Albugo,13311
81,Plasmopara,15469
