,Families,Genus,Incidence
0,GH53+PL4,All,34.0
1,GH53+PL4,Fungi,
2,GH53+PL4,Aspergillus,
3,GH53+PL4,Fusarium,
4,GH53+PL4,Magnaporthe,
5,GH53+PL4,Rhynchosporium,
6,GH53+PL4,Trichoderma,
7,GH53+PL4,Oomycete,
8,GH53+PL4,Phytophthora,
9,GH71+GH65,All,28.0
10,GH71+GH65,Fungi,28.0
11,GH71+GH65,Aspergillus,
12,GH71+GH65,Fusarium,
13,GH71+GH65,Magnaporthe,
14,GH71+GH65,Rhynchosporium,
15,GH71+GH65,Trichoderma,
16,GH71+GH65,Oomycete,
17,GH71+GH65,Phytophthora,
18,CBM35+GH51,All,28.0
19,CBM35+GH51,Fungi,
20,CBM35+GH51,Aspergillus,
21,CBM35+GH51,Fusarium,
22,CBM35+GH51,Magnaporthe,
23,CBM35+GH51,Rhynchosporium,
24,CBM35+GH51,Trichoderma,
25,CBM35+GH51,Oomycete,
26,CBM35+GH51,Phytophthora,
27,GH115+AA5,All,28.0
28,GH115+AA5,Fungi,28.0
29,GH115+AA5,Aspergillus,
30,GH115+AA5,Fusarium,
31,GH115+AA5,Magnaporthe,
32,GH115+AA5,Rhynchosporium,
33,GH115+AA5,Trichoderma,
34,GH115+AA5,Oomycete,
35,GH115+AA5,Phytophthora,
36,AA1+CBM1,All,
37,AA1+CBM1,Fungi,
38,AA1+CBM1,Aspergillus,
39,AA1+CBM1,Fusarium,
40,AA1+CBM1,Magnaporthe,
41,AA1+CBM1,Rhynchosporium,
42,AA1+CBM1,Trichoderma,
43,AA1+CBM1,Oomycete,8.0
44,AA1+CBM1,Phytophthora,
45,GH28+PL3,All,
46,GH28+PL3,Fungi,
47,GH28+PL3,Aspergillus,
48,GH28+PL3,Fusarium,
49,GH28+PL3,Magnaporthe,
50,GH28+PL3,Rhynchosporium,
51,GH28+PL3,Trichoderma,
52,GH28+PL3,Oomycete,8.0
53,GH28+PL3,Phytophthora,6.0
54,CBM32+AA13,All,20.0
55,CBM32+AA13,Fungi,20.0
56,CBM32+AA13,Aspergillus,
57,CBM32+AA13,Fusarium,
58,CBM32+AA13,Magnaporthe,
59,CBM32+AA13,Rhynchosporium,
60,CBM32+AA13,Trichoderma,
61,CBM32+AA13,Oomycete,
62,CBM32+AA13,Phytophthora,
63,GH162+PL9,All,18.0
64,GH162+PL9,Fungi,18.0
65,GH162+PL9,Aspergillus,
66,GH162+PL9,Fusarium,
67,GH162+PL9,Magnaporthe,
68,GH162+PL9,Rhynchosporium,
69,GH162+PL9,Trichoderma,
70,GH162+PL9,Oomycete,
71,GH162+PL9,Phytophthora,
72,GH146+AA2,All,16.0
73,GH146+AA2,Fungi,16.0
