Family,Genome,Protein,Genus,Species,Classifier
CBM1,GCA_900029915.1,CVK85200.1,Fusarium,proliferatum,dbCAN
GT4,GCA_002352725.1,PCD23101.1,Fusarium,graminearum,dbCAN
GH115,GCA_003615115.1,RKK72320.1,Fusarium,oxysporum,dbCAN
GT32,GCA_002211485.2,TPR10393.1,Aspergillus,niger,dbCAN
GH30,GCA_000509505.1,ETL98128.1,Phytophthora,parasitica,dbCAN
GH43,GCA_000599445.1,EYB32128.1,Fusarium,graminearum,dbCAN
AA3,GCA_003615165.1,RKK91169.1,Fusarium,oxysporum,dbCAN
GT64,GCA_002838845.1,PKK43772.1,Trichoderma,harzianum,dbCAN
PL1,GCA_003615115.1,RKK76407.1,Fusarium,oxysporum,dbCAN
AA3,GCA_002234955.1,OXN26779.1,Aspergillus,fumigatus,dbCAN
AA3,GCA_000599445.1,EYB28994.1,Fusarium,graminearum,dbCAN
GH76,GCA_012656125.1,KAF4277127.1,Aspergillus,fumigatus,dbCAN
GH12,GCA_012656165.1,KAF4262934.1,Aspergillus,fumigatus,dbCAN
CBM18,GCA_004346965.1,QBZ64293.1,Magnaporthe,oryzae,dbCAN
CBM18,GCF_003025115.1,XP_024749423.1,Trichoderma,citrinoviride,dbCAN
GH32,GCA_004346965.1,QBZ53909.1,Magnaporthe,oryzae,dbCAN
CE5,GCA_012295175.1,KAF4042847.1,Phytophthora,infestans,dbCAN
GH7,GCF_004355905.1,XP_030977797.1,Magnaporthe,grisea,dbCAN
GT71,GCA_012656125.1,KAF4288551.1,Aspergillus,fumigatus,dbCAN
PL4,GCA_001515345.1,GAQ41980.1,Aspergillus,niger,dbCAN
GT2,GCA_012656185.1,KAF4258645.1,Aspergillus,fumigatus,dbCAN
AA2,GCA_900074895.1,CZT49863.1,Rhynchosporium,secalis,dbCAN
GT31,GCA_002838845.1,PKK42838.1,Trichoderma,harzianum,dbCAN
GH28,GCA_001515345.1,GAQ46899.1,Aspergillus,niger,dbCAN
GH51,GCA_002211485.2,TPR01869.1,Aspergillus,niger,dbCAN
GH17,GCF_004355905.1,XP_030983821.1,Magnaporthe,grisea,dbCAN
CE12,GCA_001515345.1,GAQ45896.1,Aspergillus,niger,dbCAN
CE8,GCA_003615185.1,RKL29832.1,Fusarium,oxysporum,dbCAN
CE9,GCA_900074895.1,CZT43116.1,Rhynchosporium,secalis,dbCAN
GH3,GCA_003290285.1,RBA19130.1,Fusarium,proliferatum,dbCAN
GT15,GCA_002234985.1,OXN02335.1,Aspergillus,fumigatus,dbCAN
GT4,GCA_004346965.1,QBZ64878.1,Magnaporthe,oryzae,dbCAN
AA5,GCA_003615115.1,RKK88469.1,Fusarium,oxysporum,dbCAN
GH16,GCF_000002855.3,XP_001389606.1,Aspergillus,niger,dbCAN
GH29,GCF_004355905.1,XP_030978617.1,Magnaporthe,grisea,dbCAN
GH146,GCA_900074905.1,CZT11761.1,Rhynchosporium,agropyri,dbCAN
GT62,GCA_012656125.1,KAF4286445.1,Aspergillus,fumigatus,dbCAN
GT62,GCA_900044135.1,CEF75434.1,Fusarium,graminearum,CAZy
GH95,GCA_003290285.1,RBA13264.1,Fusarium,proliferatum,dbCAN
PL1,GCA_003615115.1,RKK79670.1,Fusarium,oxysporum,dbCAN
GT20,GCA_001078535.1,CCI44898.1,Albugo,candida,dbCAN
GH15,GCA_900029915.1,CVL01304.1,Fusarium,proliferatum,dbCAN
GH93,GCA_900096695.1,SCO88818.1,Fusarium,oxysporum,dbCAN
PL3,GCA_900074885.1,CZT04431.1,Rhynchosporium,commune,dbCAN
CBM1,GCA_003615185.1,RKL50329.1,Fusarium,oxysporum,dbCAN
GH35,GCA_002211485.2,TPR07966.1,Aspergillus,niger,dbCAN
GT2,GCA_000599445.1,EYB29721.1,Fusarium,graminearum,dbCAN
CBM21,GCA_900248155.1,SPB48204.1,Aspergillus,niger,dbCAN
GH78,GCA_012656165.1,KAF4275824.1,Aspergillus,fumigatus,dbCAN
GH38,GCF_003025115.1,XP_024748666.1,Trichoderma,citrinoviride,dbCAN
GT22,GCA_900074905.1,CZS89783.1,Rhynchosporium,agropyri,dbCAN
GH16,GCA_900080155.1,SAM85435.1,Ustilago,bromivora,CAZy
GH28,GCA_000509505.1,ETL86232.1,Phytophthora,parasitica,dbCAN
GH13,GCA_002234985.1,OXN08893.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_002894145.1,PNP58350.1,Trichoderma,harzianum,dbCAN
GT2,GCA_002894145.1,PNP57650.1,Trichoderma,harzianum,dbCAN
GH43,GCA_002234955.1,OXN19965.1,Aspergillus,fumigatus,dbCAN
GT66,GCA_000509465.1,ETK86736.1,Phytophthora,parasitica,dbCAN
GH106,GCA_900044135.1,CEF85836.1,Fusarium,graminearum,CAZy
GH5,GCF_000149755.1,XP_009521971.1,Phytophthora,sojae,dbCAN
CE8,GCA_900074895.1,CZT43998.1,Rhynchosporium,secalis,dbCAN
AA9,GCA_012656165.1,KAF4259221.1,Aspergillus,fumigatus,dbCAN
AA1,GCA_900096695.1,SCO84189.1,Fusarium,oxysporum,dbCAN
GH63,GCA_000509485.1,ETL30869.1,Phytophthora,parasitica,dbCAN
GH15,GCA_900096695.1,SCO91929.1,Fusarium,oxysporum,dbCAN
GT2,GCA_003615155.1,RKL02364.1,Fusarium,oxysporum,dbCAN
PL3,GCA_000509525.1,ETM52036.1,Phytophthora,parasitica,dbCAN
GT71,GCA_000509505.1,ETM01588.1,Phytophthora,parasitica,dbCAN
GH43,GCF_003025115.1,XP_024745635.1,Trichoderma,citrinoviride,dbCAN
CE3,GCA_900029915.1,CVL12221.1,Fusarium,proliferatum,dbCAN
GH106,GCA_004346965.1,QBZ57897.1,Magnaporthe,oryzae,dbCAN
GT39,GCA_900044135.1,CEF73679.1,Fusarium,graminearum,dbCAN
GH114,GCA_003615185.1,RKL15023.1,Fusarium,oxysporum,dbCAN
AA9,GCF_004355905.1,XP_030981299.1,Magnaporthe,grisea,dbCAN
CBM13,GCA_002838845.1,PKK47851.1,Trichoderma,harzianum,dbCAN
GH88,GCA_002838845.1,PKK54957.1,Trichoderma,harzianum,dbCAN
CBM43,GCA_000509465.1,ETK84789.1,Phytophthora,parasitica,dbCAN
GT48,GCA_012295175.1,KAF4043953.1,Phytophthora,infestans,dbCAN
GH7,GCA_012656115.1,KAF4292140.1,Aspergillus,fumigatus,dbCAN
CBM48,GCF_003025115.1,XP_024745081.1,Trichoderma,citrinoviride,dbCAN
GH1,GCA_000509525.1,ETM38338.1,Phytophthora,parasitica,dbCAN
GH15,GCA_900044135.1,SCB64900.1,Fusarium,graminearum,CAZy
GT50,GCA_900044135.1,CEF84010.1,Fusarium,graminearum,dbCAN
GH13,GCF_004355905.1,XP_030979817.1,Magnaporthe,grisea,dbCAN
GH28,GCF_004355905.1,XP_030981389.1,Magnaporthe,grisea,dbCAN
CE4,GCA_012552325.1,KAF4131199.1,Phytophthora,infestans,dbCAN
CE5,GCF_004355905.1,XP_030984771.1,Magnaporthe,grisea,dbCAN
CE5,GCA_000509505.1,ETM01234.1,Phytophthora,parasitica,dbCAN
GH7,GCA_000509525.1,ETM32174.1,Phytophthora,parasitica,dbCAN
GT90,GCA_900029915.1,CVK90013.1,Fusarium,proliferatum,dbCAN
AA6,GCA_000509525.1,ETM51268.1,Phytophthora,parasitica,dbCAN
GT64,GCA_003615115.1,RKK75189.1,Fusarium,oxysporum,dbCAN
GT22,GCA_900044135.1,CEF88256.1,Fusarium,graminearum,dbCAN
CBM43,GCA_012295175.1,KAF4029277.1,Phytophthora,infestans,dbCAN
GH71,GCF_000002855.3,XP_001391939.2,Aspergillus,niger,dbCAN
GT22,GCA_003615215.1,RKL29499.1,Fusarium,proliferatum,dbCAN
GH13,GCA_900248155.1,SPB42714.1,Aspergillus,niger,dbCAN
GH13,GCA_012656165.1,KAF4262664.1,Aspergillus,fumigatus,dbCAN
AA2,GCA_004346965.1,QBZ64256.1,Magnaporthe,oryzae,dbCAN
GH36,GCA_900096695.1,SCO79310.1,Fusarium,oxysporum,dbCAN
AA1,GCA_900074895.1,CZT51634.1,Rhynchosporium,secalis,dbCAN
CBM5,GCA_001078535.1,CCI42356.1,Albugo,candida,dbCAN
GH16,GCA_000509505.1,ETL91040.1,Phytophthora,parasitica,dbCAN
AA3,GCA_012656185.1,KAF4255254.1,Aspergillus,fumigatus,dbCAN
GT76,GCA_002894145.1,PNP50226.1,Trichoderma,harzianum,dbCAN
AA7,GCA_000599445.1,EYB26297.1,Fusarium,graminearum,dbCAN
GH30,GCF_000149755.1,XP_009526941.1,Phytophthora,sojae,dbCAN
CBM18,GCA_000988865.1,KKP02892.1,Trichoderma,harzianum,dbCAN
GH16,GCF_003025115.1,XP_024751087.1,Trichoderma,citrinoviride,dbCAN
GH0,GCA_003290285.1,RBA12055.1,Fusarium,proliferatum,dbCAN
CE12,GCA_900029915.1,CVL08539.1,Fusarium,proliferatum,dbCAN
GT8,GCA_004346965.1,QBZ58066.1,Magnaporthe,oryzae,dbCAN
GH79,GCA_002211485.2,TPR07199.1,Aspergillus,niger,dbCAN
CBM18,GCA_900096695.1,SCO84873.1,Fusarium,oxysporum,dbCAN
GT71,GCA_000509465.1,ETK77538.1,Phytophthora,parasitica,dbCAN
GH78,GCA_012656185.1,KAF4253043.1,Aspergillus,fumigatus,dbCAN
